 Review_ID,Review_date,Review_title,Google_rating,Review_details_prequestsros,Review_details_cons
0, 13 Sep 2018,"""Company Review""",5.0,Proper working environmentWorking culture is awesome.Freshers have a very good scope in the company,I dont think of any cons
1, 9 Aug 2018,"""Team Dinner party with company CEO""",5.0,"we have successfully completed a big challenging project. after that, we celebrate dinner party with company CEO on behalf of completing the project and lots of enjoyment.",everything is good at Loginworks !!!!!!!!!!!!!
2, 17 Jul 2018,"""Good Work Environment for Fresher as well as for Experience Candidate""",5.0,1.Very Friendly Environment2.Management is good3.Senior's are very supportive4.Salary is on time.5.weekly celebration is done for the refreshment.6.Positive Environment in the work floor,As of now -No Cons
3, 16 Jul 2018,"""Best Management""",4.0,"Amazing Infrastructure, Best Colleague, Supportive management, positive work environment, lots of engagement activities for all the employees.","As of now,there is no cons from my end.Its simply amazing"
4, 13 Mar 2018,"""You guys must know...""",3.0,Good to work as fresher.Great Environment.Mind refreshing activities at the end of the month.,"Less package.For males, you have to work over time."
5, 13 Feb 2018,"""Wonderful Company to Start Career and Good Working Environment""",4.0,"1. Good Working Atmosphere.2.Flexible Timing.3.Friday fun celebrated on every month of last friday.4.Wonderful and Co-operative Staff.5.Seniors are very supportive.6.CCD Coffee Machine is Amazing.6.last but not least, Salary comes on time.","From my point of view, There are no cons with this company. Everything is just good."
6, 12 Feb 2018,"""Good company, great culture, amazing people""",5.0,"Great place to work, senior are very supportive, Good Management",No Cons Every thing Great
7, 11 Feb 2018,"""Good organization to work with!""",4.0,Working environment is good. One can have access to helping seniors over here. Working on latest technologies after required training sessions is their best thing. Fun Fridays and festive celebrations tend to bring out the fun factor.,"Things are cool right now, but certain little things can be implemented to make it sound wow!"
8, 21 Jan 2018,"""Good Company to work""",5.0,Everything about the company is pro. Senior is also helpful.Company have good culture and provide a very good Leave policy and friday fun also there.,There is no con with this company. Everything is just good.
9, 20 Jan 2018,"""Great Place to work""",5.0,"Loginworks Software company itself is an amazing company. Everyone is on the same mission, to help people get jobs. The Team Lead and CEO are usually always there and always want to actually get to know their employees.",Salary should come on time
0, 24 Jan 2018,"""Company is not good""",2.0,Nothing pros there . as a fresher you can not gain knowledge.,They provice very less salary. and even when u want to learn somthing in free time they normaly don't allow
1, 15 Jan 2018,"""i worked at urs systems for 6 month""",3.0,you can leave company on time.,They will provide less salary and event increment is very less
2, 5 Feb 2018,"""Test engineer""",1.0,Nothing is good in the company.,Less salary for all the employees.No growth.Peer politics.
3, 29 Oct 2017,"""Awesome company to work with..""",5.0,1. Very good top management team2. Good policies for team members3. Supportive environment from seniors4. Project management is great with processes5. HR team is doing there job at best6. Friday fun is there for entertainment7. All festivals been celebrated here8. Best environment for new team members as well9. Ample of opportunities to work on new technologies,1. There is no canteen currentlyOther than that I do not see any Cons currently.
4, 23 Oct 2017,"""Good work culture""",5.0,"Work Culture is Good, Benefits are Good, Good Work Life balance.",No cons as such I observed.
5, 18 Oct 2017,"""Best Place to Work""",5.0,1) Good environment.2) State of Art infrastructure.3) Work life balance.,"Not as such, all is good"
6, 12 Oct 2017,"""Good Place to learn new technology""",4.0,Friday FunWell senior supportive staff.Nice company to start your career.Excellent work environment.,Salary paid is surely below the industry standards.Except this everything was fine.
